chinese,korean,english
戴琪,다이치,Decky (disambiguation)
宣告,선언하다,declare
市值,시가,market capitalization
澳門,마카오,Macao (People's Republic of)
暴力,폭력,Violence against women
現況,현황,Current status
農,농사짓다,agriculture
陳其邁,천치마이,Chen Chi-mai (disambiguation)
收益,수익금,Earnings
文物,문물,cultural relics
雷達,레이더,Radar (disambiguation)
燃料,연료,fuel
國力,국력,national strength
晶圓,웨이퍼,Wafer (disambiguation)
道德,도덕,Morality
東方,동방,East
方略,방략,strategy
畢業,졸업,graduate
市議員,시의원,city councilor
名義,명목,nominal
鄭寶清,정보청,Zheng Baoqing (disambiguation)
王美花,왕메이화,Wang Mei-hua (disambiguation)
經濟區,경제 구역,Economic zone
訪團,방문단,a visiting delegation
前途,앞길,the future
費用,비용,Cost
社交,사교,socializing
聯合軍,연합군,Allied Forces
表面,겉모습,surface
高官,고관,a high-ranking official
邱國正,무한,Wuhan International Airport
大事,푸틴,Putting
高虹安,병,disease
神山,재정과 경제,Finance and Economy
彈性,기록 보관소,Files
東協,증세,symptoms
早報,중증의,severe
醫學,양성,positive
用戶,이란 현,Ilan County
中資,집에서 지내다,stay-at-home
立院,어린이,Children
動向,감염자,infected person
群島,의사,Physicians
金馬,왕딩위,Wang Dingyu (disambiguation)
憲章,핑둥현,Pingtung County
蕭美琴,여성,negative
例子,정저우,Zhengzhou Municipality
吸引力,폼페오,Pompio (disambiguation)
事項,윈린현,Yunlin County
宏觀,가르치다,Teaching
聯合,구수정,Qiu Tsing-cheng (disambiguation)
北美,무술,martial arts
曼谷,환자,patient
民心,오나라,Kingdom of Uzbekistan
榮譽,시약,reagent
戰火,현청,prefectural government
身份,감염되다,be infected with an epidemic
降溫,랴오닝 성,Liaoning Province
漁民,교육부,Ministry of Education
課題,상하이 시,City of Shanghai
敵意,폭스콘,Foxconn Corporation
政壇,뤼이,Luey (disambiguation)
灰色,무증,disease-free
道理,조례,Regulations
南華,직업,occupation
市政,교과 과정,Courses
軍援,시 전체,the whole city
候選人,허난 성,Henan Province
外商,연락하다,contact
差異,시안,Xi'an (disambiguation)
中國大陸國家,죄,crime
家族,입법원,House of Representatives
金瑞契,문공무,Literary offensive and martial arts
特使,무폐,military lungs
公園,마을 사람,countryman
變局,폭로하다,break the news
中山,임정의,Lin Ching-yi (disambiguation)
德,민원,complaints
動用,영업,Business operations
遼寧,의학,Medical
強度,중국 자본,Chinese capital
吳怡農,광저우,Canton (disambiguation)
口頭,돼지,pig
全球性,어민,Fishermen
代理人,모데나,Modena (disambiguation)
菁英,타이베이,Taipei (disambiguation)
設法,변호사,Counsel
外銷,지휘관,Commander (United States)
罪,여관,Hotel accommodation
機器,베이징시,Beijing Municipality
聲授,톈진,Tianjin Municipality
西班牙,수법,trick
空前,러시아,Russian Federation
緬甸,시정,municipal government
輿情,장교와 사병,officers and soldiers
秘書,연예인,entertainer
農民,코즈언,Kozyn (disambiguation)
蒙古,유행성 감기,Influenza (disambiguation)
中國會,중산,Nakayama (disambiguation)
編隊,파인애플,Pineapple (disambiguation)
途徑,비밀,secret
兩制,캠퍼스,Campus (disambiguation)
法院,매스컴,Media coverage
跨境,재산,Property
宜蘭縣,후쿠시마,Fukushima (disambiguation)
個別,스위스,Switzerland
蘇納克,농민,Farmers
政局,약품,Drugs
巴西,국적,Nationality
大盤,빌딩,Building
國內外,변종,Variant species
護國,츄 궈정,Qiu Kuo-cheng (disambiguation)
殖民,당첨되다.,win a prize
民國,한유,Korea Yu
稅務,증오하다,hate
國泰,항함,an airship
蒲亭,경제부,Ministry of Economy
台北,민방위,Civil Defence
全黨,법원,Courts of Justice
教育部,강권,totalitarian government
作,과일,fruit
主體,산동,Shandong Province
表,국가안보국,National Security Agency
中國軍隊,병에 걸리다,get sick
船舶,가족,family
航運,대함,anti-ship
經濟部,민주화,democratization
總署,시대적 역량,The Power of the Times
現金,어선,fishing boat
紅利,외치다,shout
鳳梨,네모난 선실,square cabin
文攻武,사서함,mailbox
黨派,보건국,Department of Health
內涵,치료하다,Medical
陸克文,비서,Secretary
中國家,저장,Category: Zhejiang Province
大樓,전대,Taiwan as a whole
專題,어린이,child
商務,보험,insurance
症狀,플랫폼,platform
言行,문예,arts and literature
美國聯準會,외지 판매,export
條文,가족,Family members
北極,우루과이의 군대,Armed Forces of Uzbekistan
群體,붉은색,red
必要措施,성도,Chengdu Province
本市,우방,friendly country
體,채용하다,hire
況,선박,ship
股東,공원,Park (disambiguation)
落地,러시아군,Russian military
食藥,뤄즈정,Law Chi-jeong (disambiguation)
小心,구태삼,Qiu Tai-san (disambiguation)
宗教,국가보안법,National Security Law
弱勢,금관리회,Financial Services Commission
倫敦,특수,chief executive
水果,쿤산,Kunshan (People's Republic of China)
白俄,충칭,Chongqing Municipality
內外,생산액,output value
豬,강총연,Kang Cong-yeon (disambiguation)
波及,하원 의원,U.S. House of Representatives
柯志恩,샤오메이친,Xiao Meiqin (disambiguation)
小麥,물량,volume of goods
民主化,길을 떠나다,set out on the road
機密,유아,young children
難題,음식,Food
仇恨,티베트,Tibet (disambiguation)
服役,패널,panel
戲,홍수주,Hong Soo-joo (disambiguation)
論,전교,the whole school
普萊斯,대리,Acting
台制華,입후보자,Candidates
年增率,노인,Old man
財產權,쓰촨성,"Sichuan Province, China"
許信良,장안,Jiang'an Province
尼克森,마조,Mazu (disambiguation)
呂秀蓮,셰즈웨이,Hsieh Chi-wai (disambiguation)
屏東縣,중국 해군,Chinese Navy
淡江,컨테이너,container
芬蘭,주주,shareholder
朝鮮半島,식약,food and medicine
觀念,미치다,ripple
科技股,국방부,Ministry of Defence
射程,가오훙안,Gao Hong'an (disambiguation)
主力,공직,Public office
貨櫃,타이완 국,Republic of Taiwan
飛行員,자민당,Liberal Democratic Party (LDP)
區間,커젠밍,Ke Jianming (disambiguation)
律師,민심,public sentiment
財產,국방위원회,National Defense Commission
官兵,시청,municipal government
內需,장개석,Chiang Kai-shek (disambiguation)
江安,국산,Domestic production
交代,노동자,Workers
意涵,무대에 오르다,come to Taiwan
保險,금마,golden horse
投資者,테마,Thematic issues
對策,사망률,Mortality rate
金屬,몽골,Mongolia national football team
機艦,경증,mild illness
郵報,허가하다,Approved
墨西哥,실험실,laboratory
股份,추즈웨이,Chiu Chi-wai (disambiguation)
轟炸機,돌반점,speckled
戰鬥機,금산,Golden Mountain (disambiguation)
主政,린잉멍,Lin Ying Meng (disambiguation)
專欄,장런샹,Zhuang Renxiang (disambiguation)
利空,아들,My son.
期貨,산경,Book of Sankei
場邊,중국군,Chinese military
陳水扁,중앙 정부,Central government
政治系,주택,Residential
學位,원회,House of Representatives
全台,임준헌,Lim Joon-heon (disambiguation)
宮,경각하다,be on one's guard
記憶體,종교,Religion and religion
帝國,임창좌,Im Chang-sa (disambiguation)
風格,뤄이쥔,Luo Yijun (disambiguation)
大局,줄을 서다.,line up
沙,검찰측,prosecution
鄉親,의무역,compulsory service
工人,최전선,front
期限,영수증을 끊다,open a ballot
視頻,접종률,inoculation rate
毛寧,친한 친구,a close friend
國籍,입원하다.,be hospitalized
私人,만성병,Chronic diseases
美國國家,궈타이밍,Guo Tai-ming (disambiguation)
武,심각하다,severe
國土,출국하다,leave the country
圖謀,항공기,Aircraft (aircraft)
條例,롄장현,Lianjiang County
駐美,쉬차오신,Xu Qiaoxin (disambiguation)
大西洋,공장 구역,factory area
溫度,관광객,tourist
碩士,타이둥,Taitung (disambiguation)
烏國,츠지,Tzu Chi Corporation
伙伴,천위진,Chen Yu-chen (disambiguation)
學系,설서원,Xue Ruiyuan (disambiguation)
比率,후춘화,Hu Chunhua (disambiguation)
估值,병실,ward
類股,집에 돌아왔다.,Go home.
眼中,군중,crowd
第一島鏈,해주,pearl of the sea
私下,의사,Doctor of Medicine
母親,장소,place
大工,국경,nationality
南德,위험지역,risk zone
地面,연회석,Seats
重影,공기,air
法理,회장,a meeting place
讀者,국장,state funeral
埃及,보호력,protective power
代理,유골,remains
群,여왕,Queen of the United Kingdom
海協會,괴롭히다,bully
航空公司,조심하다.,Careful.
階層,환자,patient
家,거리,Street (disambiguation)
廣州,병원,hospital
會場,수산물,Aquatic products
水產品,우쓰야오,Wu Siyao (disambiguation)
感染者,윗사람,the elderly
議,지하,underground
浙江,절차,flow
莫迪,포함율,Coverage
軍火,백성,common people
前線,보충 부품,Supplementary parts
民用,급료,Salary
栗,장샤오옌,Jiang Hsiao-yan (disambiguation)
老百姓,학위,Degrees
高喊,사회면,social aspect
蓬佩奧,불법이다,wrongdoing
派兵,주택 가격,house price
網民,사인,Cause of death
國安局,암흑가,black-spotted woodpecker
通路,왕후닝,Wang Huning (disambiguation)
抗衡,의료량,amount of medical care
州,지진,earthquake
講話,프라이스,Price
研討會,치적,political achievement
評價,득표율,percentage of votes cast
鷹,여객운송,Passenger transportation
事態,인파,a crowd of people
吳,딩쉐샹,Ding Xuexiang (disambiguation)
貨量,가두,street
上合組織,이덕,Reed (disambiguation)
南太平洋,동인,colleagues
領導層,군체,Group (disambiguation)
多國,전당,the whole party
總量,섬,Outlying Islands
精英,우루무치,Urumqi Municipality
電商,영예,honor
駐,노인,Older persons
秘密,바이러스에 감염되다,viral infection
中壢,전 과정,full course
鄭,선두에 서다,take the lead
地圖,해산물,Seafood
分析家,핵에너지,Nuclear power
歐亞,정계,political circles
杜特蒂,가정,homestead
面板,추이스,Chiu Yi-ssi (disambiguation)
政績,인생,life
霸凌,실리콘밸리,Silicon Valley (disambiguation)
爆料,천안,Cheonan (People's Republic of China)
台廠,입국자,immigrants
西藏,스키를 타다.,Skiing
碼,보건 기구,WHO
人文,도리,reason
古巴,오르다,rise
席次,해선,sea-line
綠能,체험하다.,experience
終場,사역남,a servile man
政要,뱅글뱅글,round and round
博物,측면,flank
情境,복지,Welfare
指揮官,수나크,Sunak (disambiguation)
遠程,현금,Cash (United States dollars)
杜魯道,원숭이두,monkeypox
重症,미셸,Michel the Great
學,연결 전보,electrical connection
兒子,동네,community
動機,젤렌스,Zelens (disambiguation)
米亞,쌍표,double standard
質量,화장하다,cremation
種族,착지하다,land on the ground
巨頭,기세를 올리다,build momentum
網上,중국 국가위생건강위원회,National Health Commission of China
供需,병단,a corps of soldiers
天津,자오춘산,Chao Chun Shan (disambiguation)
武漢,마음,mood
碼頭,세계보건기구,World Health Organization
行使,기계,Machine
盤中,피,blood
業國,차량,Vehicles
內戰,린페이판,Lin Fei-fan (disambiguation)
陽性,인계하다,account
流程,보건위원회,National Health Commission
造勢,항공권,Air tickets
網軍,내무부,Ministry of the Interior
前例,증 명종,Zeng Mingzong (disambiguation)
美國參議院,석사,Master's degree
中央政府,중국 민중,Category: People of China
瑞士,친척과 친구,relatives and friends
眼,계약,contract
鋼鐵,능도,rough seas
郭台銘,서정정,Xu Dingzheng (disambiguation)
難民,강도,intensity
成都,피해자,Victims
動能,운항 노선,destination
動武,탄력성,elasticity
習慣,린보펑,Lin Po-feng (disambiguation)
利潤,침,saliva
財經,육생,terrestrial
世人,지하철,Subway (disambiguation)
週刊,감염률,Infection rate
歷史性,그룹,group
家園,유전자,Genetics (genetics)
米歇爾,육매,land-based media
俄軍,상금,prize money
晶圓廠,장외,the edge of a field
所長,의료와 간호 요원.,Medical staff
校長,쇼핑,Shopping
低點,상무,Commercial activities
長江,애도하다,pay one's respects
進場,항공사,Airlines (disambiguation)
人心,한도,limit
居家,개,dog
山東,중국회,Chinese Association of China
棋子,핵,nucleon
王滬寧,을관,second tube
場域,산시 성,Shanxi Province
彈藥,타지크,Republic of Tajikistan
記,중화인민공화국의 위생,Health in the People's Republic of China
國防授,열정적이다.,enthusiasm
胡春華,권력을 잡다,come to power
柏林,베를린,Berlin (disambiguation)
土,흙,earth
趙春山,자오춘산,Chao Chun Shan (disambiguation)
煤炭,석탄,coal
要素,요소,Elements
廣場,광장,square
電信,전신,Telecommunications
邱太三,구태삼,Qiu Tai-san (disambiguation)
中國海軍,중국 해군,Chinese Navy
反艦,대함,anti-ship
戰車,전차,chariot
毛利率,총이익률,gross margin
權威,권위,authority
長程,장거리,long-range
部位,부위,part
